t,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,cmd_thrust,roll_rad,pitch_rad,yaw_rad,alt_m,servo1,servo2,servo3,servo4
16.208,0.000,0.000,0.000,0.550,-0.000825,-0.000023,-0.000004,11.893,595.970,1593,1593,1593,1592
16.248,0.000,0.000,0.000,0.550,-0.000813,-0.000014,-0.000045,11.893,595.970,1593,1593,1593,1592
16.289,0.000,0.000,0.000,0.550,-0.000806,0.000013,-0.000063,11.918,595.990,1593,1593,1593,1593
16.330,0.000,0.000,0.000,0.550,-0.000807,0.000038,-0.000055,11.918,595.990,1593,1593,1593,1593
16.371,0.000,0.000,0.000,0.550,-0.000810,0.000048,-0.000030,11.943,596.020,1593,1593,1592,1593
16.412,0.000,0.000,0.000,0.550,-0.000810,0.000048,-0.000030,11.943,596.020,1593,1593,1592,1593
16.453,0.000,0.000,0.000,0.550,-0.000797,0.000044,-0.000044,11.943,596.020,1593,1593,1592,1593
16.494,0.000,0.000,0.000,0.550,-0.000788,0.000030,-0.000039,11.967,596.040,1593,1593,1593,1593
16.534,0.000,0.000,0.000,0.550,-0.000787,0.000010,-0.000008,11.967,596.040,1593,1593,1593,1593
16.576,0.000,0.000,0.000,0.550,-0.000769,-0.000007,0.000034,11.992,596.070,1593,1593,1593,1592
16.617,0.000,0.000,0.000,0.550,-0.000769,-0.000007,0.000034,11.992,596.070,1593,1593,1593,1592
16.657,0.000,0.000,0.000,0.550,-0.000666,-0.000000,0.000032,11.992,596.070,1593,1593,1593,1592
16.699,0.000,0.000,0.000,0.550,-0.000577,0.000025,0.000050,12.018,596.090,1593,1593,1593,1593
16.740,0.000,0.000,0.000,0.550,-0.000483,0.000056,0.000089,12.018,596.090,1593,1593,1593,1593
16.782,0.000,0.000,0.000,0.550,-0.000358,0.000059,0.000130,12.043,596.120,1593,1592,1592,1593
16.823,0.000,0.000,0.000,0.550,-0.000358,0.000059,0.000130,12.043,596.120,1593,1592,1592,1593
16.863,0.000,0.000,0.000,0.550,-0.000245,0.000058,0.000112,12.043,596.120,1593,1592,1592,1593
16.905,0.000,0.000,0.000,0.550,-0.000200,0.000052,0.000098,12.068,596.140,1593,1593,1593,1593
16.945,0.000,0.000,0.000,0.550,-0.000194,0.000047,0.000094,12.068,596.140,1593,1593,1593,1593
16.987,0.000,0.000,0.000,0.550,-0.000172,0.000054,0.000098,12.093,596.170,1593,1593,1593,1592
17.028,0.000,0.000,0.000,0.550,-0.000172,0.000054,0.000098,12.093,596.170,1593,1593,1593,1592
17.068,0.000,0.000,0.000,0.550,-0.000137,0.000086,0.000069,12.093,596.170,1593,1593,1593,1592
17.110,0.000,0.000,0.000,0.550,-0.000106,0.000117,0.000055,12.118,596.190,1593,1592,1592,1593
17.151,0.000,0.000,0.000,0.550,-0.000087,0.000117,0.000060,12.118,596.190,1593,1592,1592,1593
17.192,0.000,0.000,0.000,0.550,-0.000079,0.000105,0.000076,12.144,596.220,1593,1592,1592,1593
17.233,0.000,0.000,0.000,0.550,-0.000079,0.000105,0.000076,12.144,596.220,1593,1592,1592,1593
17.274,0.000,0.000,0.000,0.550,-0.000069,0.000074,0.000062,12.144,596.220,1593,1592,1592,1593
17.315,0.000,0.000,0.000,0.550,-0.000050,0.000079,0.000063,12.169,596.240,1593,1593,1593,1592
17.356,0.000,0.000,0.000,0.550,-0.000066,0.000093,0.000090,12.169,596.240,1593,1593,1593,1592
17.398,0.000,0.000,0.000,0.550,-0.000083,0.000118,0.000124,12.194,596.270,1592,1593,1592,1593
17.438,0.000,0.000,0.000,0.550,-0.000083,0.000118,0.000124,12.194,596.270,1592,1593,1592,1593
17.478,0.000,0.000,0.000,0.550,-0.000071,0.000152,0.000137,12.194,596.270,1592,1593,1592,1593
17.520,0.000,0.000,0.000,0.550,-0.000046,0.000159,0.000153,12.219,596.290,1593,1593,1592,1593
17.560,0.000,0.000,0.000,0.550,-0.000027,0.000150,0.000175,12.219,596.290,1593,1593,1592,1593
17.601,0.000,0.000,0.000,0.550,-0.000027,0.000150,0.000175,12.219,596.290,1593,1593,1592,1593
17.643,0.000,0.000,0.000,0.550,-0.000018,0.000146,0.000198,12.244,596.320,1593,1592,1593,1592
17.684,0.000,0.000,0.000,0.550,-0.000012,0.000168,0.000185,12.244,596.320,1593,1592,1593,1592
17.725,0.000,0.000,0.000,0.550,-0.000019,0.000212,0.000177,12.269,596.340,1593,1593,1592,1593
17.765,0.000,0.000,0.000,0.550,-0.000025,0.000238,0.000181,12.269,596.340,1593,1593,1592,1593
17.806,0.000,0.000,0.000,0.550,-0.000025,0.000238,0.000181,12.269,596.340,1593,1593,1592,1593
17.848,0.000,0.000,0.000,0.550,-0.000006,0.000224,0.000192,12.294,596.370,1593,1593,1593,1593
17.888,0.000,0.000,0.000,0.550,0.000017,0.000201,0.000181,12.294,596.370,1593,1593,1593,1593
17.930,0.000,0.000,0.000,0.550,0.000036,0.000199,0.000180,12.319,596.390,1593,1592,1593,1592
17.971,0.000,0.000,0.000,0.550,0.000035,0.000213,0.000189,12.319,596.390,1593,1592,1593,1592
18.011,0.000,0.000,0.000,0.550,0.000035,0.000213,0.000189,12.319,596.390,1593,1592,1593,1592
18.053,0.000,0.000,0.000,0.550,0.000015,0.000234,0.000203,12.345,596.420,1593,1593,1592,1593
18.093,0.000,0.000,0.000,0.550,0.000008,0.000233,0.000193,12.345,596.420,1593,1593,1592,1593
18.135,0.000,0.000,0.000,0.550,0.000029,0.000211,0.000191,12.370,596.450,1593,1593,1593,1592
18.175,0.000,0.000,0.000,0.550,0.000048,0.000204,0.000202,12.370,596.450,1593,1593,1593,1592
18.216,0.000,0.000,0.000,0.550,0.000048,0.000204,0.000202,12.370,596.450,1593,1593,1593,1592
18.258,0.000,0.000,0.000,0.550,0.000060,0.000230,0.000218,12.395,596.470,1593,1592,1592,1593
18.298,0.000,0.000,0.000,0.550,0.000051,0.000228,0.000216,12.395,596.470,1593,1592,1592,1593
18.340,0.000,0.000,0.000,0.550,0.000035,0.000221,0.000219,12.419,596.490,1593,1593,1592,1593
18.380,0.000,0.000,0.000,0.550,0.000032,0.000180,0.000233,12.419,596.490,1593,1593,1592,1593
18.421,0.000,0.000,0.000,0.550,0.000032,0.000180,0.000233,12.419,596.490,1593,1593,1592,1593
18.463,0.000,0.000,0.000,0.550,0.000037,0.000171,0.000258,12.445,596.520,1593,1593,1593,1592
18.503,0.000,0.000,0.000,0.550,0.000065,0.000200,0.000258,12.445,596.520,1593,1593,1593,1592
18.544,0.000,0.000,0.000,0.550,0.000059,0.000237,0.000259,12.469,596.540,1593,1592,1592,1593
18.585,0.000,0.000,0.000,0.550,0.000048,0.000242,0.000265,12.469,596.540,1593,1592,1592,1593
18.626,0.000,0.000,0.000,0.550,0.000048,0.000242,0.000265,12.469,596.540,1593,1592,1592,1593
18.668,0.000,0.000,0.000,0.550,0.000032,0.000225,0.000274,12.494,596.570,1593,1593,1593,1593
18.708,0.000,0.000,0.000,0.550,0.000019,0.000216,0.000263,12.494,596.570,1593,1593,1593,1593
18.750,0.000,0.000,0.000,0.550,0.000024,0.000202,0.000263,12.519,596.590,1593,1593,1593,1592
18.791,0.000,0.000,0.000,0.550,0.000043,0.000196,0.000272,12.519,596.590,1593,1593,1593,1592
18.832,0.000,0.000,0.000,0.550,0.000043,0.000196,0.000272,12.519,596.590,1593,1593,1593,1592
18.873,0.000,0.000,0.000,0.550,0.000047,0.000215,0.000287,12.544,596.620,1593,1593,1593,1593
18.914,0.000,0.000,0.000,0.550,0.000045,0.000208,0.000285,12.544,596.620,1593,1593,1593,1593
18.956,0.000,0.000,0.000,0.550,0.000044,0.000232,0.000290,12.569,596.640,1592,1593,1592,1593
18.996,0.000,0.000,0.000,0.550,0.000064,0.000237,0.000294,12.569,596.640,1592,1593,1592,1593
19.037,0.000,0.000,0.000,0.550,0.000064,0.000237,0.000294,12.569,596.640,1592,1593,1592,1593
19.080,0.000,0.000,0.000,0.550,0.000091,0.000218,0.000302,12.594,596.670,1593,1592,1593,1593
19.121,0.000,0.000,0.000,0.550,0.000087,0.000211,0.000296,12.594,596.670,1593,1592,1593,1593
19.176,0.000,0.000,0.000,0.550,0.000057,0.000190,0.000298,12.620,596.700,1593,1593,1593,1592
19.216,0.000,0.000,0.000,0.550,0.000042,0.000195,0.000305,12.620,596.700,1593,1593,1593,1592
19.260,0.000,0.000,0.000,0.550,0.000053,0.000196,0.000311,12.644,596.720,1593,1593,1593,1593
19.301,0.000,0.000,0.000,0.550,0.000060,0.000224,0.000308,12.644,596.720,1593,1593,1593,1593
